Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
3430;2.131503;1.880552;1.942870;1.918168;1.808328
3440;1.946346;1.754208;1.635200;2.297279;1.740030
3450;1.788261;2.046332;1.672261;2.015230;1.915819
3460;1.985005;2.163450;1.850567;1.971479;2.021494
3470;2.097725;1.858621;1.889578;1.836480;2.274053
3480;2.035888;1.799975;1.828016;1.869043;1.555385
3490;2.007044;1.918704;1.830719;2.013131;2.198741
3500;1.938355;1.968741;2.105014;2.066619;1.799660
3510;1.947461;2.015656;1.839838;1.810233;1.757299
3520;1.875037;2.289078;2.012840;1.939801;1.817060
3530;2.023426;2.101358;2.028784;1.729526;2.114380
3540;1.793872;2.272797;1.809275;1.912979;2.246139
3550;2.096506;2.090414;2.306086;2.012532;2.190896
3560;1.852365;2.029047;1.697834;2.156518;2.016996
3570;2.099633;1.962154;2.015818;1.889514;1.449527
3580;2.173063;1.794307;2.170475;1.686634;2.023293
3590;1.877268;1.692116;1.851837;1.941003;2.265390
3600;1.738838;2.061071;1.586505;1.674798;2.261123
3610;1.820935;2.016706;1.741523;2.208200;2.145651
3620;2.072643;1.945503;1.816722;2.112634;1.827835
3630;2.034919;1.863009;2.082423;1.542538;1.826122
3640;1.684798;1.923688;1.485468;2.106948;1.912751
3650;2.321407;2.249299;1.982784;1.558413;1.847933
3660;1.860784;1.932906;1.811634;2.079585;1.569404
3670;1.967162;1.775543;1.937947;1.642754;1.407560
3680;1.858811;1.943633;2.227061;2.063399;2.052556
3690;1.917627;1.866850;2.021887;1.950298;1.621479
3700;2.153675;1.748448;1.746394;1.864802;1.635129
3710;1.911028;1.913424;1.801065;1.921830;1.813512
3720;1.776986;1.967125;1.935645;2.252608;2.028839
3730;2.016208;1.907752;2.149711;1.892411;1.947278
3740;1.908262;2.002613;1.852193;1.883040;1.872067
3750;1.990163;1.894260;1.856930;2.083650;1.959971
3760;1.971612;1.978670;1.635577;2.090594;1.789509
3770;2.170507;1.691101;1.709082;1.827402;2.133336
3780;2.268641;2.083960;1.875214;1.696190;1.689447
3790;1.924990;1.896457;1.674707;1.803303;1.807108
3800;1.884267;1.756050;2.010814;2.236091;1.965825
3810;2.005084;1.721196;2.130713;1.877224;1.719285
3820;1.748834;1.701722;1.863175;1.730340;1.962739
3830;1.682838;2.351420;1.911613;1.854434;2.068558
3840;2.082308;1.717611;1.843154;1.928089;1.965162
3850;2.051648;1.988310;1.968317;1.991611;2.049637
3860;2.011128;1.790141;1.987218;1.851204;2.065089
3870;2.100745;1.856404;1.697769;1.945606;1.961602
3880;1.753845;1.660791;1.784487;2.127292;2.104864
3890;1.935107;1.806685;1.909023;1.659457;2.101435
3900;1.908221;1.569047;1.818770;2.040466;2.024994
3910;1.949574;1.838278;1.797861;2.122876;1.545849
3920;2.228371;2.105990;1.917403;2.023388;2.263818
3930;2.066285;1.931003;1.659849;1.345561;1.987180
3940;1.836166;2.250740;2.024746;1.755137;2.035871
3950;2.273193;2.141508;2.020796;1.970773;1.972279
3960;1.763706;1.948886;1.965989;1.869611;2.518845
3970;1.753361;1.756764;2.109165;1.879604;1.973949
3980;1.804400;1.811680;1.568451;1.813497;1.973612
3990;1.948600;1.846156;1.692327;2.230425;1.902473
4000;1.806234;1.699083;1.749467;2.146718;1.882451
4010;2.197659;2.169580;2.212715;2.014205;2.024393
4020;2.389547;1.986335;1.854706;1.862244;2.047442
4030;1.577331;1.792652;1.537313;1.813187;1.978157
4040;1.685986;2.007455;1.921425;1.533187;1.787720
4050;1.812157;1.771338;1.867951;1.970273;2.019955
4060;1.680846;1.872338;1.863098;2.078310;1.584206
4070;1.671796;1.951645;2.339026;2.075004;1.976289
4080;1.487442;1.949754;2.146860;1.581004;1.827620
4090;1.946987;1.708230;1.927204;1.762598;2.055214
4100;1.762664;1.798706;2.062015;1.761961;1.874495
4110;1.693330;1.814383;1.970006;2.019061;2.232000
4120;2.125769;1.738795;1.412750;2.042189;1.782282
4130;1.831309;1.965108;2.244356;1.945709;2.177072
4140;1.846044;1.767848;2.100970;2.014465;1.815654
4150;1.883260;2.083432;1.726763;2.160013;1.749286
4160;1.788711;1.654987;1.419984;2.147930;2.036402
4170;2.225367;1.718385;2.067500;2.056516;2.068729
4180;1.861105;1.791781;1.691886;1.835265;2.223190
4190;2.099909;1.969339;1.741362;1.678425;2.001186
4200;1.926742;2.042782;1.742685;1.712636;2.014715
4210;1.905930;1.752189;1.711482;2.001089;1.573219
4220;2.169945;1.631061;2.097599;1.876906;1.949442
4230;1.780575;1.695853;1.788380;1.996841;1.692339
4240;2.035374;2.053270;1.849546;1.759401;1.735964
4250;2.065178;1.850965;2.046517;1.674446;1.552411
4260;1.949322;1.835025;2.248136;1.846321;2.090228
4270;2.012988;1.868983;1.853136;2.039986;2.174368
4280;1.912887;1.892033;1.878532;1.788246;1.948158
4290;2.054305;1.990222;2.059228;2.363390;2.014074
4300;1.803859;1.665724;1.869950;1.950368;1.912790
4310;2.023368;1.998679;2.038801;1.975290;1.932997
4320;2.073008;1.887285;2.090779;1.723807;1.611063
4330;1.866438;1.776484;1.774292;2.022464;1.397363
4340;1.679231;1.881825;1.734232;2.017460;1.973586
4350;1.953314;1.776981;1.510848;2.039447;1.894782
4360;2.009856;1.964714;2.123701;2.017004;1.599801
4370;2.082134;1.770420;1.845113;1.648475;2.112201
4380;2.011484;1.669568;1.999446;2.001239;1.896985
4390;1.719995;1.685140;1.919776;2.138083;2.167492
4400;1.966732;1.773246;1.830216;1.486533;2.209684
4410;1.786441;2.059006;1.825824;1.794637;1.750181
4420;2.020051;2.145640;1.805497;1.739795;2.130151
4430;2.338535;1.566029;1.967292;1.814834;2.182513
